Año;Mes;Dia;Hora;Minutos;Segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2007;1;2;0;0;0;29,80;0;0;6,30
2007;1;3;0;0;0;30,20;0;80;6,30
2007;1;4;0;0;0;29,20;0;76;6,30
2007;1;5;0;0;0;28,60;0;82;6,30
2007;1;6;0;0;0;28,00;36;0;6,30
2007;1;7;0;0;0;24,80;10.5;98;6,30
2007;1;8;0;0;0;29,20;131;0;6,30
2007;1;9;0;0;0;25,80;2.5;91;6,30
2007;1;10;0;0;0;27,80;19;91;6,30
2007;1;11;0;0;0;28,00;12;93;6,30
2007;1;12;0;0;0;29,40;0.6;98;6,30
2007;1;13;0;0;0;28,60;25;85;6,30
2007;1;14;0;0;0;26,60;13.5;91;6,30
2007;1;15;0;0;0;30,00;10;85;6,30
2007;1;16;0;0;0;29,80;5.5;0;6,30
2007;1;17;0;0;0;27,60;47.5;90;6,30
2007;1;18;0;0;0;27,40;4.2;86;6,30
2007;1;20;0;0;0;25,80;1.6;90;6,30
2007;1;21;0;0;0;28,40;0;0;6,30
2007;1;22;0;0;0;29,60;0.2;0;6,30
2007;1;23;0;0;0;29,80;0;85;6,30
2007;1;24;0;0;0;30,00;4.3;85;6,30
2007;1;25;0;0;0;28,00;86;85;6,30
2007;1;26;0;0;0;25,40;0.5;95;6,30
2007;1;27;0;0;0;28,40;0;93;6,30
2007;1;28;0;0;0;30,00;0;88;6,30
2007;1;29;0;0;0;29,60;0;0;6,30
2007;1;30;0;0;0;29,60;0;83;6,30
2007;1;31;0;0;0;29,40;0;88;6,30
2007;2;1;0;0;0;29,60;0;81;6,30
2007;2;2;0;0;0;31,40;0;83;6,30
2007;2;3;0;0;0;30,00;1.1;72;6,30
2007;2;4;0;0;0;30,80;0;71;6,30
2007;2;5;0;0;0;30,20;0;75;6,30
2007;2;6;0;0;0;30,60;0;66;6,30
2007;2;7;0;0;0;30,80;0;77;6,30
2007;2;8;0;0;0;30,40;0.4;83;6,30
2007;2;9;0;0;0;29,60;0;82;6,30
2007;2;10;0;0;0;30,80;0;82;6,30
2007;2;11;0;0;0;31,00;0;81;6,30
2007;2;12;0;0;0;31,00;0.1;75;6,30
2007;2;13;0;0;0;30,40;0;87;6,30
2007;2;14;0;0;0;30,00;0;81;6,30
2007;2;15;0;0;0;28,60;0;81;6,30
2007;2;16;0;0;0;29,40;1.7;85;6,30
2007;2;17;0;0;0;27,00;0.4;86;6,30
2007;2;18;0;0;0;28,00;0;84;6,30
2007;2;19;0;0;0;28,80;0;86;6,30
