height;lenght;area;eccen;p_black;p_and;mean_tr;blackpix;blackand;wb_trans;Class
5;7;35;1400;400 .;657;2.33;14;23;6;Text
6;7;42;1167;.429;.881;3.60;18;37;5;Text
6;18;108;3000;.287;.741;4.43;31;80;7;Text
5;7;35;1400;.371;.743;4.33;13;26;3;Text
6;3;18;.500;.500;.944;2.25;9;17;4;Text
5;8;40;1600;.550;1.00;2.44;22;40;9;Text
6;4;24;.667;.417;.708;2.50;10;17;4;Text
5;6;30;1200;.333;.333;10.00;10;10;1;Text
5;5;25;1000;.400;.520;10.00;10;13;1;Text
5;7;35;1400;.486;.914;8.50;17;32;2;Text
5;2;10;.400;.800;1.00;8.00;8;10;1;Text
5;3;15;.600;.533;.733;8.00;8;11;1;Text
5;6;30;1200;.433;.733;13.00;13;22;1;Text
5;7;35;1400;.429;.857;5.00;15;30;3;Text
6;7;42;1167;.405;.881;4.25;17;37;4;Text
5;8;40;1600;.375;.475;15.00;15;19;1;Text
6;7;42;1167;.405;.952;4.25;17;40;4;Text
5;19;95;3800;.232;.400;5.50;22;38;4;Text
5;5;25;1000;.400;.560;5.00;10;14;2;Text
4;6;24;1500;.417;.500;10.00;10;12;1;Text
4;6;24;1500;.458;.792;5.50;11;19;2;Text
4;18;72;4500;.250;.528;2.57;18;38;7;Text
6;7;42;1167;.357;.548;7.50;15;23;2;Text
5;7;35;1400;.429;.886;2.50;15;31;6;Text
5;4;20;.800;.500;.800;10.00;10;16;1;Text
13;25;325;1923;.234;.286;10.86;76;93;7;Text
13;25;325;1923;.351;.680;6.00;114;221;19;Text
7;16;112;2286;.321;.643;2.57;36;72;14;Text
7;103;721;14714;.295;.691;1.76;213;498;121;Text
11;9;99;.818;.343;.626;3.40;34;62;10;Text
11;8;88;.727;.580;1.00;5.10;51;88;10;Text
11;8;88;.727;.409;.477;36.00;36;42;1;Text
11;8;88;.727;.602;1.00;5.89;53;88;9;Text
11;35;385;3182;.382;.657;6.13;147;253;24;Text
3;113;339;37667;.410;.472;13.90;139;160;10;horiz_line
3;59;177;19667;.475;.475;84.00;84;84;1;horiz_line
2;20;40;10000;.675;.675;27.00;27;27;1;horiz_line
2;101;202;50500;.540;.743;10.90;109;150;10;horiz_line
10;38;380;3800;.426;.947;3.12;162;360;52;Text
9;21;189;2333;.429;.772;3.00;81;146;27;Text
9;37;333;4111;.532;.913;3.22;177;304;55;Text
10;98;980;9800;.379;.835;2.22;371;818;167;Text
9;50;450;5556;.496;.958;2.69;223;431;83;Text
4;194;776;48500;.263;.273;34.00;204;212;6;horiz_line
2;18;36;9000;.667;.694;24.00;24;25;1;horiz_line
2;22;44;11000;.750;.750;33.00;33;33;1;horiz_line
2;18;36;9000;.806;.833;29.00;29;30;1;horiz_line
2;22;44;11000;.705;.864;15.50;31;38;2;horiz_line
10;66;660;6600;.273;.661;1.94;180;436;93;Text
9;90;810;10000;.260;.786;2.18;211;637;97;Text
9;22;198;2444;.288;.818;2.48;57;162;23;Text
9;92;828;10222;.286;.885;1.93;237;733;123;Text
9;12;108;1333;.444;.981;1.71;48;106;28;Text
9;51;459;5667;.296;.786;2.34;136;361;58;Text
9;34;306;3778;.320;.886;1.56;98;271;63;Text
9;80;720;8889;.333;.878;2.02;240;632;119;Text
8;95;760;11875;.303;.937;1.77;230;712;130;Text
11;99;1089;9000;.230;.601;2.14;250;654;117;Text
10;12;120;1200;.367;1.00;1.69;44;120;26;Text
10;53;530;5300;.294;.819;1.79;156;434;87;Text
9;92;828;10222;.292;.843;2.05;242;698;118;Text
11;85;935;7727;.257;.894;1.67;240;836;144;Text
9;83;747;9222;.284;.849;1.91;212;634;111;Text
9;12;108;1333;.454;1.00;1.69;49;108;29;Text
9;64;576;7111;.299;.970;1.81;172;559;95;Text
11;102;1122;9273;.223;.768;1.53;250;862;163;Text
12;12;144;1000;.306;.979;1.69;44;141;26;Text
12;56;672;4667;.256;.827;2.02;172;556;85;Text
9;84;756;9333;.222;.937;1.81;168;708;93;Text
9;54;486;6000;.292;.957;1.48;142;465;96;Text
9;41;369;4556;.298;.775;1.90;110;286;58;Text
10;83;830;8300;.266;.827;2.10;221;686;105;Text
10;4;40;.400;.375;.400;15.00;15;16;1;Text
12;11;132;.917;.371;1.00;1.63;49;132;30;Text
12;44;528;3667;.261;.767;2.38;138;405;58;Text
10;34;340;3400;.297;.885;1.71;101;301;59;Text
9;76;684;8444;.307;.882;1.84;210;603;114;Text
12;14;168;1167;.357;.958;2.31;60;161;26;Text
12;7;84;.583;.214;.583;3.60;18;49;5;Text
12;44;528;3667;.294;.742;2.31;155;392;67;Text
10;63;630;6300;.233;.705;1.69;147;444;87;Text
9;32;288;3556;.271;.594;2.23;78;171;35;Text
3;116;348;38667;.385;.494;33.50;134;172;4;horiz_line
1;10;10;10000;1.00;1.00;10.00;10;10;1;horiz_line
1;13;13;13000;1.00;1.00;13.00;13;13;1;horiz_line
1;8;8;8000;1.00;1.00;8.00;8;8;1;horiz_line
1;44;44;44000;.250;1.00;2.20;11;44;5;horiz_line
2;20;40;10000;.725;.875;29.00;29;35;1;horiz_line
2;20;40;10000;.775;.850;31.00;31;34;1;horiz_line
13;10;130;.769;.300;.808;6.50;39;105;6;Text
11;86;946;7818;.413;.853;3.10;391;807;126;Text
11;20;220;1818;.168;.750;3.36;37;165;11;Text
9;5;45;.556;.378;.933;2.83;17;42;6;Text
8;3;24;.375;.417;.417;10.00;10;10;1;Text
3;113;339;37667;.357;.378;30.25;121;128;4;horiz_line
98;3;294;.031;.480;.486;141.00;141;143;1;vert_line
2;48;96;24000;.625;.677;30.00;60;65;2;horiz_line
11;65;715;5909;.390;.877;2.61;279;627;107;Text
9;37;333;4111;.526;.898;3.18;175;299;55;Text
